lon,lat,X1980.02.29,X1980.03.31,X1980.04.30,X1980.05.31,X1980.06.30,X1980.07.31,X1980.08.31,X1980.09.30,X1980.10.31,X1980.11.30,X1980.12.31,X1981.01.31,X1981.02.28,X1981.03.31,X1981.04.30,X1981.05.31,X1981.06.30,X1981.07.31,X1981.08.31,X1981.09.30,X1981.10.31,X1981.11.30,X1981.12.31,X1982.01.31,X1982.02.28,X1982.03.31,X1982.04.30,X1982.05.31,X1982.06.30,X1982.07.31,X1982.08.31,X1982.09.30
44.5500114,39.67312517,6.068245888,26.19147682,47.84960175,75.72522736,68.91059875,51.65893173,30.15979385,16.45720482,22.80412102,12.99731064,7.079956055,5.857432842,10.75697231,31.26766396,46.27532196,70.82214355,76.18690491,58.58222961,54.20393753,20.21510315,21.71097183,10.36421013,7.088615417,3.956895351,4.106281281,21.65514183,52.07536316,73.12953949,75.00694275,65.21572113,48.13161469,32.62342834
44.6500114,39.67312517,7.731116772,27.67476273,45.91463852,63.40045547,53.81647491,22.74337959,21.63514519,13.30671597,15.58026505,12.27129459,8.043455124,9.665916443,13.98512554,31.66264725,43.35213852,62.59850693,64.54018402,52.98007202,47.1182251,11.25590897,17.26079369,9.934324265,8.609615326,5.937047482,5.861354828,23.77983665,49.77865601,66.15855408,61.28512573,56.02897644,29.66791344,18.71721268
44.7500114,39.67312517,6.942222595,24.13890839,39.01293182,59.78630829,63.02190018,29.63512993,24.20001411,13.61897182,14.2626152,10.13667297,6.779319286,8.114589691,12.81420517,26.62781715,37.46246338,57.9169426,68.3500824,65.64089203,53.94248581,14.20096874,15.92923069,8.596971512,7.384256363,5.076521397,5.257405281,20.89975357,43.06177139,61.04417801,66.383255,65.46472931,41.65449905,19.45413208
47.8500114,39.67312517,13.00213814,25.4404335,44.36678696,57.93860245,47.19075394,9.343345642,18.98386765,29.1901741,23.24697113,12.70790768,10.20746708,14.62349129,18.93672562,28.22713089,41.02154922,56.82383728,57.33758926,64.35205078,54.65104675,41.27170181,25.34746361,12.39755154,12.48462868,11.24703407,15.31143284,25.50440598,47.53661346,58.28757477,61.43262863,62.93540192,59.97881317,36.37517166
47.9500114,39.67312517,12.80683422,26.53627586,45.9549675,60.52281952,60.71895218,21.86078453,25.83592606,22.38955116,22.64103699,12.52872467,9.212108612,14.40845776,19.91699982,28.80817413,41.0067482,58.29644775,58.15694427,64.34342957,62.57513809,46.18668747,26.32188606,12.47704697,13.02677631,10.98637676,15.76360416,26.20632172,47.07582474,60.80547714,62.00230408,62.04241562,67.45764923,40.46697235
48.0500114,39.67312517,14.52994823,28.97084427,51.20778275,63.33608246,55.77174377,48.0491333,25.80469131,28.99298096,25.77170372,14.02855968,11.19702053,15.14049816,21.28956795,32.48794174,43.95829773,58.54767609,58.54500198,62.09466553,63.39125061,35.20185852,22.67763901,12.7902441,14.03247166,11.13100052,16.3455925,28.87936783,50.33597565,59.03936768,60.49518585,43.52054214,28.06691933,25.64866257
44.5500114,39.57312517,5.398711681,20.18515015,42.61109924,66.80591583,76.65753174,68.97605133,31.07973671,19.0141468,21.03898239,10.66478157,5.686163902,4.620860577,9.554839134,25.24286079,39.23792648,60.79164886,77.64456177,72.83740234,53.11207199,31.0878849,17.55799866,8.290215492,6.160253048,3.884068489,4.219995975,17.95581818,44.43112946,61.91691208,74.94361877,71.33409119,52.75306702,32.37389755
44.6500114,39.57312517,6.281883717,22.79209518,43.64195633,66.29273224,72.96971893,53.21298981,16.27988815,13.55116844,14.94589424,10.28795242,5.454703331,5.396268845,10.09153557,26.64223289,41.43022919,60.31466675,76.6632309,67.24769592,51.4265976,22.54361916,16.94686699,8.485911369,5.466820717,4.295008659,4.939973831,19.84663963,46.14268112,63.61454773,76.31212616,68.97677612,52.24575424,32.507267
44.7500114,39.57312517,6.986167431,20.78453636,33.61410904,49.41369247,53.12755585,29.49375153,14.75099182,11.90779686,12.61557961,9.379053116,5.468016624,5.533335209,10.71489716,23.43298912,32.38926315,47.65953827,57.38644028,56.36434174,36.18122482,11.23841572,13.40352821,7.728749752,5.371296406,4.667709351,5.409386635,18.60204887,35.98723221,51.25322342,56.21664047,56.38302612,39.09697342,18.5648613
44.8500114,39.57312517,7.16779995,19.23534393,31.16036034,45.84602737,43.53883362,19.47525978,14.40200043,12.93455982,11.72251892,7.462344646,4.627252579,5.178833008,10.07162189,21.25912094,30.64715576,45.03862,49.23397064,39.74100113,31.06125069,13.15460777,12.57567024,6.185937405,4.440885544,4.486139774,5.445464134,17.03534508,33.80857468,48.78499985,46.77362442,41.2835083,27.24004364,17.84768105
47.7500114,39.57312517,14.90721798,27.68485832,47.42389297,60.32061386,52.4337883,55.70113754,26.11481285,24.09482765,23.70163727,12.16879082,12.23688602,15.90079975,18.82468987,30.63506317,40.12379456,55.10430908,49.57339096,50.00190735,48.50663757,27.40827179,21.69347763,11.27552414,15.38286304,11.2438221,14.90937233,27.84657478,47.72068405,56.12046432,53.99723053,50.94894028,28.06145287,24.04750824
47.8500114,39.57312517,15.18730068,28.50343513,48.27550888,62.21595001,56.10955811,55.44269943,25.18302727,23.2053833,23.0538063,12.33659649,13.13940907,15.93975925,19.13294792,31.51916695,40.86745453,56.04375076,52.60108948,53.61406326,47.85184479,30.2265358,20.98822403,11.34835052,16.28962326,11.25724316,15.15008354,28.77255249,48.7129097,57.76144028,56.77259827,51.81072617,29.11160469,23.30904961
47.9500114,39.57312517,15.31114769,29.38604164,48.88683319,63.07530975,52.00081635,41.67230606,25.41878891,22.51397705,23.89414024,12.82370377,12.37622356,16.09005928,20.57367134,31.87944412,42.89548492,58.79700851,51.3817749,53.13761139,51.30144119,23.8318119,20.59521484,11.33373451,16.42235565,11.63623428,16.07998085,30.02914047,49.5810051,60.12499237,53.53626251,36.70143127,23.22768021,24.45963669
48.0500114,39.57312517,14.62637806,28.48374367,48.00608444,60.07444,53.25756454,44.66184998,27.00896454,24.15306282,24.1851387,12.89883423,12.17364311,15.33838177,19.8973999,30.90234375,41.76863861,55.97037506,51.28988647,55.12140656,51.71431732,23.54930878,20.88760567,11.39793873,16.17070007,11.06862164,15.46128654,29.11361885,48.26630783,57.06687927,54.40204239,42.82669067,24.3310833,24.48380852
48.1500114,39.57312517,15.38522148,29.49371147,51.77972031,63.84525681,53.60344315,38.96388245,27.07397652,26.61003113,24.64817619,13.51130199,11.55413628,15.15019798,20.93389511,32.00579453,44.83480072,61.18424606,52.58580399,56.30662155,57.20782089,33.04566956,22.18617821,12.21092224,15.32020855,11.18674278,16.60610771,30.41539764,52.12477875,61.46662521,54.38702393,32.6227951,19.30313873,26.03743935
44.4500114,39.47312517,7.340816975,18.31066322,38.23726273,66.71698761,76.78722382,67.77700043,27.04592896,18.96335793,18.10513687,11.21658897,6.526348114,5.688331604,12.75823116,24.02812195,33.7361145,60.23521423,78.13713837,70.04488373,54.86973572,33.1082077,17.68383408,8.213541031,6.966480732,4.488708973,5.359892845,17.14101028,38.70653152,61.95093155,74.25293732,67.91577148,53.37049484,33.08875656
44.5500114,39.47312517,5.758623123,19.40736961,39.93097687,68.25055695,75.1155014,58.15761566,29.07184982,19.12150955,20.11577415,11.37531567,6.570052624,5.112695694,9.52996254,23.97813034,35.90921021,62.35991287,77.39768219,61.88516998,49.90266418,30.04511833,17.52311897,8.468227386,6.992290497,4.284284592,4.406336308,17.64164352,41.14343643,63.24639893,74.98352814,63.13782501,49.12577438,31.33660126
44.6500114,39.47312517,6.38420248,21.20961761,40.77400589,64.40478516,72.84867096,61.3821907,42.00277328,21.94355011,19.66197205,10.63696575,5.772221565,5.367126465,9.671102524,24.46032524,37.69538879,57.41257477,72.82121277,65.73608398,50.49876022,30.86292648,19.60306549,8.29902935,5.535412788,4.262624264,4.896013737,18.35738182,42.20351791,60.58546066,72.36161041,67.31131744,51.69642258,33.53167725
44.7500114,39.47312517,7.429708958,24.0592556,42.30730057,66.13510132,72.0120697,64.53115845,19.09306145,16.87654114,16.7712307,10.42740154,6.421943665,6.229888916,10.81310558,26.11185837,40.37054825,60.40217209,74.11431122,68.56936646,51.08039856,25.17270279,17.12034416,8.422597885,6.085525036,5.111643791,5.745931625,20.16088676,44.60878754,63.47509766,74.05252075,69.66809082,51.96681595,33.7547493
